1,Heroin,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,,,,,,,,,,,,
2,Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,,,,,,,,,,,,
3,p-fluorofentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)F,,,,,,,,,,,,
4,clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,,,,,,,,,,,,
5,xylazine,CC1=C(C(=CC=C1)C)NC2=NCCCS2,,,,,,,,,,,,
6,sotonitazene,CCN(CC)CCN1C(CC2=CC=C(OC(C)C)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
7,N-desethyl-Isotonitazene,CCNCCN1C(CC2=CC=C(OC(C)C)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
8,4'-OH-nitazene,CCNCCN1C(CC2=CC=C(O)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
9,5-aminoisotonitazene,CCN(CC)CCN1C(CC2=CC=C(OC(C)C)C=C2)=NC3=CC(N)=CC=C31,,,,,,,,,,,,
10,Metonitazene,CCN(CC)CCN1C(CC2=CC=C(OC)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
11,Etonitazene,CCN(CC)CCN1C(CC2=CC=C(OCC)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
12,N-desethyl-Etonitazene,CCNCCN1C(CC2=CC=C(OCC)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
13,Protonitazene,CCN(CC)CCN1C(CC2=CC=C(OCCC)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
14,Butonitazene,CCN(CC)CCN1C(CC2=CC=C(OCCCC)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
15,Flunitazene,CCN(CC)CCN1C(CC2=CC=C(F)C=C2)=NC3=CC([N+]([O-])=O)=CC=C31,,,,,,,,,,,,
16,Isotodesnitazene,CCN(CC)CCN1C(CC2=CC=C(OC(C)C)C=C2)=NC3=CC=CC=C31,,,,,,,,,,,,
17,Metodesnitazene/Metazene,CCN(CC)CCN1C(CC2=CC=C(OC)C=C2)=NC3=CC=CC=C31,,,,,,,,,,,,
18,Etodesnitazene/ Etazene,CCN(CC)CCN1C(CC2=CC=C(OCC)C=C2)=NC3=CC=CC=C31,,,,,,,,,,,,
